N,lr,sr,set_n,KL,entropy
400,0.88,1.1,9,0.6060408683885228,4.801864634226959
400,0.88,1.1,9,0.13632864227442346,4.650320342588363
400,0.88,1.2,10,0.62391984273085,4.832442293174481
400,0.88,1.2,10,0.29187159589891487,4.728743514865457
400,0.88,1.2,10,1.3267249465842554,4.913379049495757
400,0.88,1.2,10,0.0053903547081444025,4.517184506238162
400,0.88,1.2,10,0.669984009082851,4.88673839042418
400,0.88,1.2,10,0.5701025678827686,4.797582144051747
400,0.88,1.2,10,0.12089626444982461,4.731619504143664
400,0.88,1.2,10,0.7355857983631283,4.819081071915713
400,0.88,1.2,10,1.1658656080853367,4.970105852894479
400,0.88,1.2,10,0.9610978876480569,4.928391066887544
400,0.91,0.8,11,0.10828638402739212,4.71994226709025
400,0.91,0.8,11,0.13152960771111336,4.65636256063425
400,0.91,0.8,11,0.0037755978385654353,4.5614686193562015
400,0.91,0.8,11,2.015175962334646,4.991215925179251
400,0.91,0.8,11,2.3027882533108226,5.021156685101284
400,0.91,0.8,11,1.317892998713146,4.824572193109722
400,0.91,0.8,11,0.005939573258385025,4.538122339811815
400,0.91,0.8,11,0.0015678206282424105,4.4896204347412425
400,0.91,0.8,11,0.004920084892166733,4.549301603573197
400,0.91,0.8,11,0.016386910966648932,4.61574655342877
400,0.91,0.9,12,0.5916189843710483,4.739046509506069
400,0.91,0.9,12,0.17947400605089264,4.700905249998354
400,0.91,0.9,12,0.49953523533627037,4.734672980885821
400,0.91,0.9,12,0.9099417875734492,4.882405764379458
400,0.91,0.9,12,0.16959344029445558,4.609244357367897
400,0.91,0.9,12,0.2869324983233461,4.667089253086718
400,0.91,0.9,12,0.6102851826730771,4.828430843527533
400,0.91,0.9,12,1.6953686587529395,4.947871230500963
400,0.91,0.9,12,0.14683833975984184,4.687950663729396
400,0.91,0.9,12,0.2258601511969487,4.7310853795098495
400,0.91,1.0,13,1.055293326488068,4.851588465330789
400,0.91,1.0,13,2.3766667659449627,5.08319536014484
400,0.91,1.0,13,3.1202624011494615,5.095678115847553
400,0.91,1.0,13,0.8493661302377276,4.869878905267852
400,0.91,1.0,13,0.1317849412007147,4.661423641503667
400,0.91,1.0,13,0.5185904927807103,4.8348813340319685
400,0.91,1.0,13,0.6443919155343184,4.806923957226184
400,0.91,1.0,13,0.04683686265458718,4.653026779501541
400,0.91,1.0,13,2.3010502066724223,5.079287020039947
400,0.91,1.0,13,0.13217708296562028,4.6958093509328105
400,0.91,1.1,14,0.017809330836706147,4.582180152791528
400,0.91,1.1,14,0.7375240403933947,4.9136432392061
400,0.91,1.1,14,1.1990043471003933,4.96383196503989
400,0.91,1.1,14,1.7606587771163553,4.993247447327555
400,0.91,1.1,14,0.3150190575956527,4.798818979198122
400,0.91,1.1,14,0.0005461123135173353,4.5405309694615354
400,0.91,1.1,14,0.9465178626175126,4.944561599861543
400,0.91,1.1,14,0.004435085131024462,4.436489065768717
400,0.91,1.1,14,0.3770971117962106,4.767775069041058
400,0.91,1.1,14,0.08421965601464715,4.763625662033412
400,0.91,1.2,15,0.13361891620148114,4.697905974646089
400,0.91,1.2,15,1.8652905634066888,4.993617019981233
400,0.91,1.2,15,0.05696398337367118,4.603371571213211
400,0.91,1.2,15,1.490904272907642,4.935843601350753
400,0.91,1.2,15,0.27377009082357173,4.762793995247836
400,0.91,1.2,15,2.3046317786365145,5.04696965611756
400,0.91,1.2,15,1.9243338859718961,5.064156797903521
400,0.91,1.2,15,1.5220942571915779,4.951051281137256
400,0.91,1.2,15,1.0772444560009309,4.851117878314184
400,0.91,1.2,15,0.8021389346693888,4.960541024633791
400,0.9400000000000001,0.8,16,0.2774606062497072,4.7059466570517365
400,0.9400000000000001,0.8,16,0.2736369764788985,4.757123955632626
400,0.9400000000000001,0.8,16,0.34269925555852054,4.758293519662162
400,0.9400000000000001,0.8,16,0.06544364936045903,4.66797569222577
400,0.9400000000000001,0.8,16,0.5706769467768039,4.828268739934932
400,0.9400000000000001,0.8,16,0.5260412291448497,4.796674374244768
400,0.9400000000000001,0.8,16,1.5285844344701929,4.97169416778872
400,0.9400000000000001,0.8,16,0.5600085082717732,4.857839997280658
400,0.9400000000000001,0.8,16,0.3911053655321993,4.772751353531513
400,0.9400000000000001,0.8,16,0.03405523809490525,4.677334794089255
400,0.9400000000000001,0.9,17,0.6400087280944633,4.840221712346658
